Date,Site,Count
1/11/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,265
1/11/2019,E - Dreamy Draw Park - Trail 105,89
1/11/2019,E - Papago - 5K Fitness,183
1/11/2019,E - Papago - Archery,51
1/11/2019,E - Papago - Hole In The Rock,361
1/11/2019,E - PMP - 32nd St. Trailhead,274
1/11/2019,E - PMP - 40th St. Trailhead - East Access,239
1/11/2019,E - PMP - 40th St. Trailhead - Wash - West Access,895
1/11/2019,E - PMP - Piestewa Summit Trail,975
1/11/2019,E - PMP - Trail 1240,
1/11/2019,E - PMP - Trail 1344,269
1/11/2019,E - PMP - Trail8B - 7000 N. 36th,
1/11/2019,N - 25th St. and Acoma-Shadow Mtn N,35
1/11/2019,N - 7th Ave - Peoria-Mtn. View Park Access,113
1/11/2019,N - Apache Wash Replacement,
1/11/2019,N - Carefree Bridge - Cave Creek Wash,
1/11/2019,N - Deem Hills - East - 39th Ave TH,127
1/11/2019,N - Deem Hills - West - 51st Ave TH,109
1/11/2019,N - Desert Hills - North - Ocotillo Trail,89
1/11/2019,N - Desert Hills - South - Sidewinder Trail,148
1/11/2019,N - Desert Vista TH - Hawk,109
1/11/2019,N - Lookout Mountain - 306 - North Side TH,448
1/11/2019,N - NMVC,160
1/11/2019,N - North Mountain - 44-Tower Road,0
1/11/2019,N - Shaw Butte TH,265
1/11/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/11/2019,N-NM TOWER TR 44 REPL,
1/11/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/11/2019,RIO SALADO 2875 S. 7th Street SE,
1/11/2019,RIO SALADO 3201 S. 16th Street SE,
1/11/2019,RIO-16ST-SE-REPL,
1/11/2019,RIO-7TH ST SE-REPL,
1/11/2019,RIO-CENT-NEGW-REPL,
1/11/2019,South Mountain- Desert Classic Trail,314
1/11/2019,South Mountain-620 Trailhead,101
1/11/2019,South Mountain-Hau'Pal,
1/11/2019,South Mountain-Holbert Trail,76
1/11/2019,South Mountain-Judith Tunell Trail,87
1/11/2019,South Mountain-Kiwanis Trail ,
1/11/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/11/2019,South Mountain-Mormon Trail,363
1/11/2019,South Mountain-Pima Dirt Rd. ,758
1/11/2019,South Mountain-Pima West Loop,484
1/11/2019,South Mountain-Telegraph Pass Trail,211
1/12/2019,E - Camelback - Cholla Trail ,
1/12/2019,E - Camelback - Echo Canyon Trail,1314
1/12/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,529
1/12/2019,E - Dreamy Draw Park - Trail 105,184
1/12/2019,E - Papago - 5K Fitness,346
1/12/2019,E - Papago - Archery,93
1/12/2019,E - Papago - Hole In The Rock,271
1/12/2019,E - PMP - 32nd St. Trailhead,518
1/12/2019,E - PMP - 40th St. Trailhead - East Access,476
1/12/2019,E - PMP - 40th St. Trailhead - Wash - West Access,1347
1/12/2019,E - PMP - Piestewa Summit Trail,1537
1/12/2019,E - PMP - Trail 1240,
1/12/2019,E - PMP - Trail 1344,374
1/12/2019,E - PMP - Trail8B - 7000 N. 36th,
1/12/2019,N - 25th St. and Acoma-Shadow Mtn N,59
1/12/2019,N - 7th Ave - Peoria-Mtn. View Park Access,226
1/12/2019,N - Apache Wash Replacement,
1/12/2019,N - Carefree Bridge - Cave Creek Wash,
1/12/2019,N - Deem Hills - East - 39th Ave TH,180
